name,symptoms,conditional_approval
Ebglyss,Ebglyss is indicated for the treatment of moderate-to-severe atopic dermatitis in adults and adolescents 12 years and older with a body weight of at least 40 kg who are candidates for systemic therapy.,no
Herwenda,Treatment of metastatic and early breast cancer and metastatic gastric cancer (MGC).,no
Aqumeldi,Treatment of heart failure.,no
Vanflyta,"Vanflyta is indicated in combination with standard cytarabine and anthracycline induction and standard cytarabine consolidation chemotherapy, followed by Vanflyta single-agent maintenance therapy for adult patients with newly diagnosed acute myeloid leukaemia (AML) that is FLT3-ITD positive.",no
Jaypirca,Treatment of mantle cell lymphoma (MCL),yes
Degarelix Accord,Degarelix Accord is a gonadotrophin releasing hormone (GnRH) antagonist indicated:for treatment of adult male patients with advanced hormone-dependent prostate cancer.for treatment of high-risk localised and locally advanced hormone dependent prostate cancer in combination with radiotherapy.as neo-adjuvant treatment prior to radiotherapy in patients with high-risk localised or locally advanced hormone dependent prostate cancer.,no
Tepkinly,Tepkinly as monotherapy is indicated for the treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) after two or more lines of systemic therapy.,yes
Tyruko,"Tyruko is indicated as single disease modifying therapy in adults with highly active relapsing remitting multiple sclerosis (RRMS) for the following patient groups:, , Patients with highly active disease despite a full and adequate course of treatment with at least one disease modifying therapy (DMT) (for exceptions and information about washout periods see sections 4.4 and 5.1), or, Patients with rapidly evolving severe RRMS defined by 2 or more disabling relapses in one year, and with 1 or more Gadolinium enhancing lesions on brain Magnetic Resonance Imaging (MRI) or a significant increase in T2 lesion load as compared to a previous recent MRI.,",no
Lyfnua,Lyfnua is indicated in adults for the treatment of refractory or unexplained chronic cough.,no
Inaqovi,Inaqovi is indicated as monotherapy for the treatment of adult patients with newly diagnosed acute myeloid leukaemia (AML) who are ineligible for standard induction chemotherapy.,no
Tevimbra,"Oesophageal squamous cell carcinoma (OSCC) Tevimbra as monotherapy is indicated for the treatment of adult patients with unresectable, locally advanced or metastatic oesophageal squamous cell carcinoma after prior platinum-based chemotherapy.",no
Enrylaze,Enrylaze is indicated as a component of a multi-agent chemotherapeutic regimen for the treatment of acute lymphoblastic leukaemia (ALL) and lymphoblastic lymphoma (LBL) in adult and paediatric patients (1 month and older) who developed hypersensitivity or silent inactivation to E. coli-derived asparaginase.,no
Orserdu,"Orserdu monotherapy is indicated for the treatment of postmenopausal women, and men, with estrogen receptor (ER) positive, HER2-negative, locally advanced or metastatic breast cancer with an activating ESR1 mutation who have disease progression following at least one line of endocrine therapy including a CDK 4/6 inhibitor.",no
Tyenne,"Tyenne, in combination with methotrexate (MTX), is indicated for- the treatment of severe, active and progressive rheumatoid arthritis (RA) in adults not previously treated with MTX.- the treatment of moderate to severe active RA in adult patients who have either responded inadequately to, or who were intolerant to, previous therapy with one or more disease-modifying anti-rheumatic drugs (DMARDs) or tumour necrosis factor (TNF) antagonists.In these patients, Tyenne can be given as monotherapy in case of intolerance to MTX or where continued treatment with MTX is inappropriate.Tocilizumab has been shown to reduce the rate of progression of joint damage as measured by X-ray and to improve physical function when given in combination with methotrexate.Tyenne is indicated for the treatment of coronavirus disease 2019 (COVID-19) in adults who are receiving systemic corticosteroids and require supplemental oxygen or mechanical ventilation.Tyenne is indicated for the treatment of active systemic juvenile idiopathic arthritis (sJIA) in patients 1 year of age and older, who have responded inadequately to previous therapy with NSAIDs and systemic corticosteroids. Tyenne can be given as monotherapy (in case of intolerance to MTX or where treatment with MTX is inappropriate) or in combination with MTX.Tyenne in combination with methotrexate (MTX) is indicated for the treatment of juvenile idiopathic polyarthritis (pJIA; rheumatoid factor positive or negative and extended oligoarthritis) in patients 2 years of age and older, who have responded inadequately to previous therapy with MTX.Tyenne can be given as monotherapy in case of intolerance to MTX or where continued treatment with MTX is inappropriate.Tyenne is indicated for the treatment of chimeric antigen receptor (CAR) T cell-induced severe or life-threatening cytokine release syndrome (CRS) in adults and paediatric patients 2 years of age and older.Tyenne is indicated for the treatment of Giant Cell Arteritis (GCA) in adult patients.",no
